_id,DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,year,month,day,hour,day_of_week,day_of_year,week_of_year,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,month_sin,month_cos,is_weekend,is_morning_rush,is_evening_rush,is_rush_hour,time_period,is_night,is_business_hours,is_holiday,holiday_name,is_religious_holiday,is_national_holiday,is_new_year,days_to_holiday,is_day_before_holiday,is_day_after_holiday,is_near_holiday,is_non_working_day,is_ramadan_month,is_bridge_day,is_friday_afternoon,is_sunday_evening,is_monday_morning,is_summer,is_school_term,is_school_holiday,time_period_afternoon,time_period_evening,time_period_late_night,time_period_morning,time_period_night,temperature,dew_point,humidity,precipitation,snow_depth,wind_direction,wind_speed,wind_gust,pressure,weather_tsun,weather_condition,is_raining,is_snowing,is_hot,is_cold,is_freezing,is_windy,poor_visibility,is_extreme_weather,is_comfortable_temp,road_type,num_lanes,speed_limit,road_length,is_oneway,is_bridge,is_tunnel,road_name,dist_to_city_center_taksim,dist_to_city_center_sultanahmet,dist_to_bosphorus_bridge,dist_to_fsm_bridge,dist_to_istanbul_airport,dist_to_sabiha_airport,dist_to_nearest_landmark,near_bosphorus,near_airport,road_category,is_highway,is_major_road,road_capacity_proxy
1,2024-04-01,41.2124633789063,28.8336181640625,sxkd2n,6,148,60,229,2024,4,1,0,0,92,14,0.0,1.0,0.0,1.0,0.999916658654738,-0.0129102960750088,0.8660254037844387,-0.4999999999999998,0,0,0,0,late_night,1,0,0,,0,0,0,-7,0,0,0,0,1,0,0,0,0,0,1,-2,False,False,True,False,False,14.127973586272986,10.702999448951598,80.17875560375744,0.0,0.0,222.5299494217632,10.06665695934533,0.0,1019.0968910900178,,1.0,0,0,0,0,0,0,0,0,0,motorway_link,3,30,248.9174404431084,1,0,0,Işıklar Kavşağı,23.278272828440212,25.74902115969362,24.271922494362794,22.16687695725937,9.772442078387206,52.98491046982943,9.772442078387206,0,1,highway,1,1,90
2,2024-04-01,41.0092163085938,28.8336181640625,sxk921,1,38,17,56,2024,4,1,0,0,92,14,0.0,1.0,0.0,1.0,0.999916658654738,-0.0129102960750088,0.8660254037844387,-0.4999999999999998,0,0,0,0,late_night,1,0,0,,0,0,0,-7,0,0,0,0,1,0,0,0,0,0,1,-2,False,False,True,False,False,14.473292267857143,11.534363098706615,82.79169694562445,0.0,0.0,257.11635360126104,9.081060274614208,0.0,1019.0998947173546,,1.0,0,0,0,0,0,0,0,0,0,residential,2,30,98.2679254823086,0,0,0,Çağatay Sokağı,13.067252394360748,12.14899259160522,15.140489115301476,21.69449977092548,30.368167476247205,41.78642069346761,12.14899259160522,0,0,local,0,0,60
3,2024-04-01,41.0586547851563,29.1082763671875,sxk9w6,4,80,43,16,2024,4,1,0,0,92,14,0.0,1.0,0.0,1.0,0.999916658654738,-0.0129102960750088,0.8660254037844387,-0.4999999999999998,0,0,0,0,late_night,1,0,0,,0,0,0,-7,0,0,0,0,1,0,0,0,0,0,1,-2,False,False,True,False,False,13.413676695833631,9.356302968104062,76.5715354531228,0.0,0.0,179.57385068812283,11.889120571017266,0.0,1019.0921883611828,,1.0,0,0,0,0,0,0,0,0,0,unclassified,2,50,1108.6116307140778,0,0,0,Semerkand Sokağı,10.617084024375716,12.25348305211757,8.547572514833755,6.79202241076904,38.34337852567973,24.512046972694844,6.79202241076904,0,0,local,0,0,100
4,2024-04-01,40.9872436523438,28.7347412109375,sxk3jv,19,19,19,1,2024,4,1,0,0,92,14,0.0,1.0,0.0,1.0,0.999916658654738,-0.0129102960750088,0.8660254037844387,-0.4999999999999998,0,0,0,0,late_night,1,0,0,,0,0,0,-7,0,0,0,0,1,0,0,0,0,0,1,-2,False,False,True,False,False,14.436639636353307,11.448158546187935,82.52603645963114,0.0,0.0,253.45480526407704,9.177188322266254,0.0,1019.0996518191754,,1.0,0,0,0,0,0,0,0,0,0,tertiary,2,40,359.92447024605,0,0,0,İskeçe Caddesi,21.711660820558244,20.580859810309573,23.779574506406075,30.170559511984266,32.062626647450365,49.24436675755492,20.580859810309573,0,0,minor,0,0,80
5,2024-04-01,41.0037231445313,28.8446044921875,sxk922,2,71,22,75,2024,4,1,0,0,92,14,0.0,1.0,0.0,1.0,0.999916658654738,-0.0129102960750088,0.8660254037844387,-0.4999999999999998,0,0,0,0,late_night,1,0,0,,0,0,0,-7,0,0,0,0,1,0,0,0,0,0,1,-2,False,False,True,False,False,14.471336979113907,11.529389653377963,82.77557637641598,0.0,0.0,256.8909712173629,9.087676265653524,0.0,1019.0998927997508,,1.0,0,0,0,0,0,0,0,0,0,residential,2,30,130.81743492657833,0,0,0,Murat Sokağı,12.34255827626616,11.238116515156138,14.398081187058612,21.224263261291952,31.17988330206457,40.727732205287296,11.238116515156138,0,0,local,0,0,60
